region,village,district,source_name,lab_identifier_code,source_type,easting,northing,latitude,longitude,ecoli,ph,electrical_conductivity,turbidity,color_apparent,total_dissolved_salts,total_alkalinity,bi_carbonates,total_hardness,calcium_hardness,magnesium_hardness,flouride,chloride,sulphate,nitrites,nitrates_n,ammonium_n,phosphates_p,water_quality
Central,Namirembe,Kayunga,Namirembe village borehole WDD 782,E22/09977,Bore Hole,497400,88166,0.797664875,32.97663221,1,6,317,1.7,0.2432,221.9,99,120.78,110.4,53.2,57.2,0.42,35,1.6,0.001,2.35,0.06,0.05,not admissible
Central,Nongo,Kayunga,Nongo mosque borehole,E22/09978,Bore Hole,492655,89528,0.809986818,32.9339858,1,6,272,2.7,0.2432,190.4,110,134.2,101.6,69.8,31.8,0.24,9.8,2.3,0.02,4.13,0.15,0.1,not admissible
Central,Budada,Kayunga,Budada borehole,E22/09979,Bore Hole,487727,93339,0.844465024,32.88969382,1,5.8,566,1.8,1,396.2,600,732,158.6,102.4,56.2,0.31,100,34,0.001,6.49,0.05,0.17,not admissible
Central,Bulawula C,Kayunga,Bulawula village b/hole WDD 9128,E22/09981,Bore Hole,494850,92383,0.835817111,32.95371336,1,6.2,271,1.8,0.2432,189.7,130,158.6,132.2,61,71.2,0.44,1.6,2.6,0.001,2.09,0.09,0.13,not admissible
Central,Nkokonjeru,Kayunga,Nkokonjeru p/sch borehole,E22/09982,Bore Hole,4942223,91440,0.657945943,70.01203461,1,6,260,2.2,11,182,66,80.52,74.4,45.8,28.6,0.35,28,1.1,0.001,6.61,0.08,0.04,not admissible
Central,Kawuku,Kayunga,Busaana T/C H/qtrs borehole,E22/09983,Bore Hole,498574,85435,0.772956755,32.98718374,1,6.4,483,1.8,0.2432,338.1,95,115.9,150,89.8,60.2,0.38,44,16,0.001,20,0.01,0.24,not admissible
Western,Kyabakwerere,Kamwenge,Aliganyira shallow well or Bangirana shallow well,E22/03131,Bore Hole,212591.0742,10046752.05,0.4225481,30.417939,9,6.9,76,1.24,0,53.2,0,0,0,0,0,0,1.39561,9.72927,0.00865,0.00102,0,0,not admissible
Western,Kihoima,Kamwenge,Kihoima bore hole,E22/03132,Bore Hole,213852.3355,10046619.96,0.421358,30.4292628,1,7.1,134.2,1.03,0,93.94,0,0,0,0,0,0,1.31526,15.7005,0.03777,0.00152,0,0,not admissible
Western,Kihoima,Kamwenge,Kihoima bore hole,E22/03132,Bore Hole,214347.9953,10047051.86,0.421358,30.4292628,108,7.38,116.5,0.99,0,81.55,0,0,0,0,0,0,0.96973,12.50203,0.02682,0.00201,0,0,not admissible
Western,Kengoma II,Kamwenge,Agaba Waren Tap,E22/02989,Tap,223026.7796,10017502.47,0.1582,30.51169,1,7.53,266,104,0,186.2,0,0,0,0,0,0,8.7641,65.234,0.03084,0.00343,0,0,not admissible
Western,Burengye,Kamwenge,Kishiza shallow well ,E22/02990,Unprotected Spring Well,225109.3864,10019025.79,0.1719713,30.5303866,36,7.87,420,1.08,0,294,0,0,0,0,0,0,9.88801,61.22324,0.02367,0.00157,0,0,not admissible
Western,Burengye,Kamwenge,Kishiza shallow well ,E22/02990,Unprotected Spring Well,225548.7911,10019069.02,0.1719713,30.5303866,1,7.95,323,1.13,0,226.1,0,0,0,0,0,0,5.38449,31.45613,0.00663,0.00144,0,0,not admissible
Western,Nyamashegwa I,Kamwenge,Nyamashegwa eremera BH ,E22/02992,Bore Hole,225229.8096,10018060.18,0.1632435,30.5314689,1,7.65,157.4,0.97,0,110.18,0,0,0,0,0,0,1.45978,18.66576,0.01149,0.00331,0,0,not admissible
Western,Kengoma II,Kamwenge,Agaba Waren Tap,E22/02989,Tap,226915.384,10017340.63,0.1582,30.51169,102,8.15,562,1.1,0,393.4,0,0,0,0,0,0,10.70044,103.4988,0.01239,0.0018,0,0,not admissible
Western,Kengoma II,Kamwenge,Agaba Waren Tap,E22/02989,Tap,224562.0547,10018374.29,0.1582,30.51169,1,7.56,284,1.1,0,198.8,0,0,0,0,0,0,10.17997,58.16407,0.00917,0.00191,0,0,not admissible
Western,Kengoma II,Kamwenge,Agaba Waren Tap,E22/02989,Tap,226008.0612,10017935.2,0.1582,30.51169,66,8.05,357,1.02,0,249.9,0,0,0,0,0,0,12.53693,31.7049,0.02297,0.00786,0,0,not admissible
Western,Kengoma II,Kamwenge,Agaba Waren Tap,E22/02989,Tap,224772.1702,10018188.27,0.1582,30.51169,1,7.63,271,0.85,0,189.7,0,0,0,0,0,0,11.13073,66.62563,0.05155,0.00293,0,0,not admissible
Western,Nkoma,Kamwenge,Kamagege shallow well,E22/04762,Unprotected Spring Well,237987.0935,10036378.77,0.3288505,30.6459846,0,5.98,328,26,0,229.6,0,0,0,0,0,0,9.01585,44.30161,0.01697,0.00057,2.00486,0.04564,not admissible
Western,Kinyonza,Kamwenge,Kinyonza protected spring,E22/04763,Protected Spring Well,239332.1297,10040967.38,0.370333,30.6580518,3,6.36,380,1.5,0,266,0,0,0,0,0,0,15.21136,31.98672,0.10891,0.00182,2.40506,0.12568,not admissible
Western,Kikiri,Kamwenge,Barungi protected spring,E22/04765,Protected Spring Well,247577.0344,10047628.21,0.4305675,30.7320713,2,6.14,387,3.25,0,270.9,0,0,0,0,0,0,4.86134,31.37258,0.02866,0.00621,0.8676,0.16647,not admissible
Western,Rutooma,Kamwenge,Rutooma protected spring,E22/04766,Protected Spring Well,247946.5386,10047522.94,0.4296168,30.7353897,4,5.94,216.5,4.1,0,151.55,0,0,0,0,0,0,2.03056,12.92991,0.02345,0.00327,3.49218,0.06243,not admissible
Northern,Block 4,Lamwo,Zone 4 &5 4980,UN23/0263,Bore Hole,437542,370808,3.35461559,32.43775776,0,7.28,881,0.138,616.7,0,524,639.28,266.8,83.6,43.968,0.38,6.75,2.47,0,0.02,0,0,not admissible
Northern,Block 4,Lamwo,Zone 4 &5 4980,UN23/0263,Bore Hole,437542,370808,3.35461559,32.43775776,0,7.29,956,0.23,669.2,0,468,570.96,270.8,70.4,48.096,0.31,5.31,2.33,0,0.02,0,0,not admissible
Northern,Block 4,Lamwo,Zone 4 &5 4980,UN23/0263,Bore Hole,437086,371065,3.35461559,32.43775776,0,7.33,987,0.875,690.9,0,524,639.28,248.4,124.8,29.664,0.35,5.32,2.85,0,0.02,0,0,not admissible
Northern,Block 4B,Lamwo,Zone 1 Block 4,UN23/0266,Tap,437086,371065,3.356938178,32.43365167,0,7.56,727,1.12,508.9,0,312,380.64,296.8,138.4,38.016,0.468,12.38,2.84,0,5.57,0,0,not admissible
Northern,Block 4B,Lamwo,Zone 1 Block 4,UN23/0266,Tap,437086,371065,3.356938178,32.43365167,0,7.37,859,6.12,601.3,0,440,536.8,278.4,46.8,55.584,0.49,11.14,2.43,0,5.7,0,0,not admissible
Northern,Block 12A Zone B,Lamwo,Zone 5 Block 12,UN23/0268,Bore Hole,442869,377058,3.411183523,32.48567985,0,7.34,865,0.241,605.5,0,508,619.76,369.6,68,72.384,0.38,11.83,6.01,0,0.02,0,0,not admissible
Northern,Block 12A Zone B,Lamwo,Zone 5 Block 12,UN23/0268,Bore Hole,442869,377058,3.411183523,32.48567985,0,7.59,863,6.18,604.1,0,420,512.4,332.8,91.6,57.888,0.34,12.25,6.23,0,0.02,0,0,not admissible
Northern,Block 12A Zone B,Lamwo,Zone 5 Block 12,UN23/0268,Bore Hole,442869,377058,3.411183523,32.48567985,0,7.55,874,0.291,611.8,0,528,644.16,360,97.2,63.072,0.66,11.6,5.81,0,0.02,0,0,not admissible
Northern,Block 12A Zone B,Lamwo,Zone 5 Block 12,UN23/0268,Bore Hole,442869,377058,3.411183523,32.48567985,0,7.62,817,0.367,571.9,0,492,600.24,338.8,122,52.032,0.98,21.2,8.46,0,0.02,0,0,not admissible
Northern,Block 12A Zone B,Lamwo,Zone 5 Block 12,UN23/0268,Bore Hole,442869,377058,3.411183523,32.48567985,0,7.72,848,0.415,593.6,0,472,575.84,329.6,100,55.104,1.6,17.4,7.52,0,0.02,0,0,not admissible
Northern,Nyalagala,Lamwo,Nyalagala,UN23/0273,Bore Hole,455385,400317,3.62165569,32.59826259,0,7.05,472,0.184,330.4,0,260,317.2,249.2,102.4,35.232,1.8,0.81,8.14,0,0.02,0,0,not admissible
Northern,Akelikongo North,Lamwo,Olug Olo 22365,UN23/0274,Bore Hole,459754,399290,3.612381306,32.63760655,0,6.63,276,397,193.2,0,164,200.08,142,79.6,14.976,0.62,0.68,0,0,0.02,0,0,not admissible
Northern,Akelikongo North,Lamwo,Olug Olo 22365,UN23/0274,Bore Hole,455385,400317,3.612381306,32.63760655,0,7.69,472,0.493,330.4,0,164,200.08,249.6,124.8,29.952,1.28,0.29,0,7.21,0.02,0,0,not admissible
Northern,Alelikongo North,Lamwo,Olug Olo 22365,UN23/0276,Bore Hole,459754,399290,3.612381306,32.63760655,0,6.6,280,0.531,196,0,240,292.8,161.6,64,23.424,0.682,0.33,0,0,0.02,0,0,not admissible
Northern,Alelikongo North,Lamwo,Olug Olo 22365,UN23/0276,Bore Hole,455175,399509,3.612381306,32.63760655,0,5.98,56.1,0.326,39.27,0,164,200.08,59.2,49.2,2.4,1.29,0.92,0,0,2.11,0,0,admissible
Northern,Zone 4 Block 9,Lamwo,Zone 4 Block 9,UN23/0278,Bore Hole,441588,372639,3.371200285,32.4741696,0,7.42,805,0.352,563.5,0,56,68.32,336.8,127.2,50.304,0.6,3.96,0,7.5,2.02,0,0,not admissible
Northern,Zone 4 Block 9,Lamwo,Zone 4 Block 9,UN23/0278,Bore Hole,441588,372639,3.371200285,32.4741696,0,7.5,799,0.467,559.3,0,520,634.4,288,116.4,41.184,0.25,4.25,0,10.8,0.02,0,0,not admissible
Northern,Zone 4 Block 9,Lamwo,Zone 4 Block 9,UN23/0278,Bore Hole,441588,372639,3.371200285,32.4741696,0,7.33,806,0.391,564.2,0,372,453.84,327.6,104,53.664,0.24,4.16,0,10.06,1.39,0,0,not admissible
Northern,Zone 4 Block 9,Lamwo,Zone 4 Block 9,UN23/0278,Bore Hole,441588,372639,3.371200285,32.4741696,0,7.07,808,0.484,565.6,0,392,478.24,287.2,168.8,28.416,0.25,4.17,0,10.2,0.02,0,0,not admissible
Northern,Zone 4 Block 9,Lamwo,Zone 4 Block 9,UN23/0278,Bore Hole,441588,372639,3.371200285,32.4741696,0,7.54,801,0.22,560.7,0,436,531.92,331.6,155.6,42.24,0.22,4.19,0,9.53,0.02,0,0,not admissible
Northern,Zone 6 Block 6,Lamwo,Zone 6 Block 6,UN23/0283,Bore Hole,444534,372639,3.371214305,32.50068908,0,7.09,505,0.283,353.5,0,400,488,204,51.6,36.576,1.08,4.27,0,2.11,0.02,0,0,not admissible
Northern,Zone 6 Block 6,Lamwo,Zone 6 Block 6,UN23/0283,Bore Hole,444534,371724,3.371214305,32.50068908,0,7.15,503,0.32,352.1,0,272,331.84,222,58.4,39.264,1.22,4.87,0,1.93,0.02,0,0,not admissible
Northern,Zone 6 Block 6,Lamwo,Zone 6 Block 6,UN23/0283,Bore Hole,444534,371724,3.371214305,32.50068908,0,6.95,510,0.383,357,0,280,341.6,238.4,61.6,42.432,0.52,4.42,0,2.05,0.02,0,0,not admissible
Northern,Zone 6 Block 6,Lamwo,Zone 6 Block 6,UN23/0283,Bore Hole,444534,371724,3.371214305,32.50068908,0,7.03,506,0.315,354.2,0,312,380.64,234.4,67.6,40.032,0.52,4.41,0,1.91,0.02,0,0,not admissible
Northern,Ajagala,Lamwo,Zone 7 Block 8,UN23/0287,Bore Hole,442495,369658,3.344236674,32.48234848,0,8.22,640,0.255,448,0,284,346.48,251.6,69.2,43.776,1.04,13.35,0,4.6,5.67,0,0,not admissible
Northern,Ajagala,Lamwo,Zone 7 Block 8,UN23/0287,Bore Hole,441964,369336,3.344236674,32.48234848,0,7.81,693,0.402,485.1,0,324,395.28,239.2,122.4,28.032,1.14,10.96,0,3.78,6.73,0,0,not admissible
Northern,Ajagala,Lamwo,Zone 7 Block 8,UN23/0287,Bore Hole,442495,369658,3.344236674,32.48234848,0,7.07,772,0.723,540.4,0,352,429.44,355.6,39.6,75.84,0.91,10.88,0,4.69,8.14,0,0,not admissible
Northern,Ajagala,Lamwo,Zone 7 Block 8,UN23/0287,Bore Hole,441964,369336,3.344236674,32.48234848,0,7.83,688,0.24,481.6,0,400,488,225.2,45.6,43.104,0.39,10.89,0,3.74,6.36,0,0,not admissible
Northern,Ajagala,Lamwo,Zone 7 Block 8,UN23/0287,Bore Hole,441964,369336,3.344236674,32.48234848,0,7.97,683,0.178,478.1,0,376,458.72,256,40.8,51.648,1.11,10.13,0,3.96,6,0,0,not admissible
Northern,Ajaogala,Lamwo,Ajaogala,UN23/0292,Tap,440389,368384,3.332701072,32.46339738,0,7.48,473,0.223,331.1,0,380,463.6,231.6,64.8,40.032,0.44,2.32,0,1.55,1.77,0,0,not admissible
Northern,Ajaogala,Lamwo,Ajaogala,UN23/0292,Tap,440618,370685,3.332701072,32.46339738,0,6.99,841,0.24,588.7,0,280,341.6,239.6,32.4,49.728,1.17,8.9,0,4.31,0.02,0,0,not admissible
Northern,Ajaogala,Lamwo,Ajaogala,UN23/0292,Tap,439533,365445,3.332701072,32.46339738,0,6.78,309,6.11,216.3,0,444,541.68,102.8,40.8,14.88,1.25,5.15,0,0.38,1.43,0,0,not admissible
Northern,Ajaogala,Lamwo,Ajaogala,UN23/0292,Tap,440626,368178,3.332701072,32.46339738,0,6.93,357,0.178,249.9,0,188,229.36,91.2,56.8,8.256,1.56,1.55,0,0,4.06,0,0,not admissible
Northern,Ajaogala,Lamwo,Ajaogala,UN23/0292,Tap,441167,368353,3.332701072,32.46339738,0,7.03,466,0.223,326.2,0,264,322.08,171.6,64.8,25.632,0.23,2.27,0,1.63,1.91,0,0,not admissible
Central,Kyebando,Mubende,Kyebando Borehole,E23/01705,Bore Hole,333812,57010,0.515610852,31.50662056,1,5.5,170,1.83,0,119,68,82.96,61,21,40,0.17816,12.09813,4.23033,1.53049,0.00159,0.069,0.0794,not admissible
Central,Kyenda,Mubende,Kyenda borehole,E23/01706,Bore Hole,334146,55736,0.504089217,31.50962388,1,5.7,290,1.76,0,203,125,152.5,130,36,94,0.17836,6.53345,11.77767,2.37574,0.00239,0.04518,0.13873,not admissible
Eastern,Mbogo,Luuka,Our Lady's Secondary School Kitwekyambogo,E22/04394,Bore Hole,541843.3578,10085477.18,0.7733216,33.376067,1,7.6,480,2.76,0,336,0,0,0,0,0,0,16.35794,98.64284,0.00528,3.83408,0.02352,0.28079,not admissible
Eastern,Mbogo,Luuka,Our Lady's Secondary School Kitwekyambogo,E22/04394,Bore Hole,535146.2773,100877162.3,0.6981005,33.3158724,1,7.8,370,1.54,0,259,0,0,0,0,0,0,5.3452,33.58435,0.00166,5.18969,0.03544,0.20557,not admissible
Eastern,Nawamwena,Luuka,Kiyunga Primary school,E22/04396,Bore Hole,536862.7503,10084693.69,0.766237,33.3313038,1,7.6,261,1.23,0,182.7,0,0,0,0,0,0,5.08619,22.501,0.00239,3.32873,0.04801,0.20852,not admissible
Eastern,Kiyunga Central,Luuka,Tomborehole,E22/04397,Bore Hole,537867.7843,10086586.87,0.7833642,33.3403378,1,7.8,456,1.67,0,319.2,0,0,0,0,0,0,5.50549,47.39408,0.00413,4.54793,0.04151,0.23532,not admissible
Eastern,Kiyunga Hospital,Luuka,Kiyunga hospital borehole,E22/04398,Bore Hole,536846.0704,10084705.74,0.7663461,33.3311539,1,7.4,558,1.23,0,390.6,0,0,0,0,0,0,34.39494,19.18808,0.00461,30.05653,0.01795,0.13452,not admissible
Eastern,Makuutu,Bugweri,Makuutu subcounty borehole,E23/01851,Bore Hole,566143,55392,0.501121522,33.59442229,1,6.5,359,1.76,0.5,251.3,152,185.44,160,126,34,0.09043,2.81557,16.13871,0.00146,6.48163,0.00601,0.11153,not admissible
Eastern,Busiimo,Bugweri,Busiimo Pri School Borehole,E23/01852,Bore Hole,565623,50578,0.457570532,33.58974553,1,6.4,175,1.95,0.5,122.5,50,61,50,30,20,0.09151,7.07127,7.39301,0.00147,6.92006,0.00379,0.10667,not admissible
Central,Kabojja A ,Wakiso,Nalongo spring ,E23/01710,Protected Spring Well,446673,32357,0.292733595,32.52076313,20,5.44,235,1.85,0,164.5,56,68.32,80,50,30,0.13475,0,0.67062,0.00456,9.84878,1.0533,0.03047,not admissible
Central,Kabojja B,Wakiso,Kabojja B Spring,E23/01711,Protected Spring Well,446407,33011,0.298650223,32.51837245,2,4.8,200,1.77,0,140,11,13.42,34,11,23,0.0665,0,0.67616,0.0046,12.22264,0.55122,0.04328,not admissible
Central,Kinawa,Wakiso,Kinawa Motorised hand dug well,E23/01712,Unprotected Spring Well,445662,29308,0.265148956,32.51167887,1,4.25,223,1.8,0,156.1,4,4.88,49,18,31,0.15379,0,0.72902,0.00718,15.56782,0.26664,0.05327,not admissible
Central,Kikajjo,Wakiso,Kikajjo Spring,E23/01713,Protected Spring Well,445662,29308,0.265148956,32.51167887,8,4.88,224,1.9,0,156.8,16,19.52,58,22,36,0.10721,0,5.9389,0.00197,11.09191,0.01641,0.03153,not admissible
Central,Kasenge,Wakiso,Kasenge Health Centre II Borehole ,E23/01714,Bore Hole,445265,28558,0.258363582,32.50811149,1,5.9,163,1.78,0,114.1,69,84.18,54,34,20,0.1905,0,1.31713,0.00157,2.11286,0.04105,0.18689,not admissible
Central,Kasenge,Wakiso,Kasenge Health Centre II Borehole ,E23/01714,Bore Hole,444870,28353,0.258363582,32.50811149,1,4.38,161,1.96,0,112.7,5.6,6.832,30,12,18,0.07263,0,0.50899,0.00309,11.37755,0.0455,0.03075,not admissible
Central,Katalemwa,Wakiso,Katalemwa Pri. School,E23/01716,Bore Hole,41632,22888,0.206537295,28.88430377,2,5,57,21,0,39.9,18,21.96,38,7.8,30.2,0.14688,0,0.31171,0.013,1.34066,0.15626,0.26396,not admissible
Central,Katalemwa,Wakiso,Katalemwa Pri. School,E23/01716,Bore Hole,440006,22562,0.206537295,28.88430377,1,4.8,38,4.45,0,26.6,12,14.64,16,1.6,14.4,0.12194,0,1.19742,0.0017,1.54298,0.02943,0.05718,not admissible
Central,Nakawuka,Wakiso,Gambirana shallow well,E23/01718,Unprotected Spring Well,440026,22638,0.204803956,32.46103338,19,4.8,67,2.65,0,46.9,10,12.2,25,9,16,0.15894,0,2.77297,0.00296,3.23466,0.03573,0.10532,not admissible
